state,date,crop_type,planted_area,production,year,hist_mean_temp,yield
Kedah,2017-01-01,herbs,169.8,563.0,2017,28.4,3.3156654888103647
Kedah,2018-01-01,herbs,175.0,532.6,2018,28.55,3.0434285714285716
Kedah,2019-01-01,herbs,174.9,442.7,2019,28.9,2.5311606632361348
Kedah,2020-01-01,herbs,196.4,367.2,2020,28.7,1.8696537678207739
Kedah,2021-01-01,herbs,103.5,319.7,2021,28.3,3.0888888888888886
Kedah,2022-01-01,herbs,176.5,282.7,2022,28.45,1.601699716713881
Kedah,2017-01-01,industrial_crops,2378.1,8081.6,2017,28.4,3.398343215171776
Kedah,2018-01-01,industrial_crops,1178.6,8929.7,2018,28.55,7.576531478024776
Kedah,2019-01-01,industrial_crops,1248.4,8448.9,2019,28.9,6.767782761935276
Kedah,2020-01-01,industrial_crops,2440.4,12265.2,2020,28.7,5.025897393869857
Kedah,2021-01-01,industrial_crops,2119.7,12885.6,2021,28.3,6.078973439637685
Kedah,2022-01-01,industrial_crops,2051.5,35503.6,2022,28.45,17.30616621983914
Kedah,2017-01-01,paddy,214585.0,939308.0,2017,28.4,4.377323671272456
Kedah,2018-01-01,paddy,214592.0,955662.0,2018,28.55,4.453390620339994
Kedah,2019-01-01,paddy,214252.0,859018.0,2019,28.9,4.009381476018894
Kedah,2020-01-01,paddy,214328.0,914200.0,2020,28.7,4.265424956141988
Kedah,2021-01-01,paddy,214880.0,906692.0,2021,28.3,4.219527177959791
Kedah,2022-01-01,paddy,213718.0,834901.0,2022,28.45,3.9065544315406284
Kedah,2017-01-01,spices,651.5,1383.3,2017,28.4,2.1232540291634687
Kedah,2018-01-01,spices,562.5,1440.9,2018,28.55,2.5616000000000003
Kedah,2019-01-01,spices,548.2,1302.6,2019,28.9,2.3761400948558915
Kedah,2020-01-01,spices,577.9,971.5,2020,28.7,1.6810866931995156
Kedah,2021-01-01,spices,351.6,965.3,2021,28.3,2.7454493742889645
Kedah,2022-01-01,spices,419.9,2166.5,2022,28.45,5.159561800428674
Kedah,2017-01-01,vegetables,1691.9,17111.7,2017,28.4,10.11389562030853
Kedah,2018-01-01,vegetables,1345.9,14115.0,2018,28.55,10.487406196597071
Kedah,2019-01-01,vegetables,1631.3,16823.1,2019,28.9,10.31269539630969
Kedah,2020-01-01,vegetables,1555.0,12790.5,2020,28.7,8.22540192926045
Kedah,2021-01-01,vegetables,1317.8,12909.6,2021,28.3,9.796327212020033
Kedah,2022-01-01,vegetables,1051.2,15812.1,2022,28.45,15.04195205479452
Sabah,2017-01-01,cash_crops,2048.9,12515.7,2017,26.8,6.1084972424227635
Sabah,2018-01-01,cash_crops,1212.6,10465.0,2018,26.95,8.630216064654462
Sabah,2019-01-01,cash_crops,1482.7,14580.2,2019,27.2,9.833546907668444
Sabah,2020-01-01,cash_crops,1298.4,11209.7,2020,27.05,8.633471965495994
Sabah,2021-01-01,cash_crops,1323.7,11143.9,2021,26.7,8.418750472161365
Sabah,2022-01-01,cash_crops,1485.6,10526.0,2022,26.75,7.085352719439958
Sabah,2017-01-01,coconut,16726.2,49335.3,2017,26.8,2.949582092764645
Sabah,2018-01-01,coconut,16968.4,50477.5,2018,26.95,2.974794323566158
Sabah,2019-01-01,coconut,17041.0,55337.1,2019,27.2,3.247291825597089
Sabah,2020-01-01,coconut,17274.7,57392.1,2020,27.05,3.3223210822763924
Sabah,2021-01-01,coconut,18257.7,59214.8,2021,26.7,3.2432781785219387
Sabah,2022-01-01,coconut,18631.8,61517.9,2022,26.75,3.301769018559667
Sabah,2017-01-01,flower,59.9,7976625.0,2017,26.8,133165.69282136895
Sabah,2018-01-01,flower,61.0,8120204.0,2018,26.95,133118.09836065574
Sabah,2019-01-01,flower,62.1,8274488.0,2019,27.2,133244.57326892109
Sabah,2020-01-01,flower,60.4,6305160.0,2020,27.05,104390.06622516556
Sabah,2021-01-01,flower,62.7,6662662.0,2021,26.7,106262.55183413078
Sabah,2022-01-01,flower,63.5,6782590.0,2022,26.75,106812.44094488189
Sabah,2017-01-01,fruits,17592.5,108917.5,2017,26.8,6.191132584908342
Sabah,2018-01-01,fruits,18093.2,108138.7,2018,26.95,5.976759224460018
Sabah,2019-01-01,fruits,18484.0,127771.1,2019,27.2,6.912524345379788
Sabah,2020-01-01,fruits,19112.5,123396.6,2020,27.05,6.456329627207325
Sabah,2021-01-01,fruits,20301.3,123132.2,2021,26.7,6.065237201558521
Sabah,2022-01-01,fruits,20922.2,106700.0,2022,26.75,5.0998460964908086
Sabah,2017-01-01,herbs,0.0,0.0,2017,26.8,
Sabah,2018-01-01,herbs,0.0,0.0,2018,26.95,
Sabah,2019-01-01,herbs,1.2,0.9,2019,27.2,0.75
Sabah,2020-01-01,herbs,1.2,0.4,2020,27.05,0.33333333333333337
Sabah,2021-01-01,herbs,1.2,0.4,2021,26.7,0.33333333333333337
Sabah,2022-01-01,herbs,6.2,0.0,2022,26.75,0.0
